                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4659,                 1.2918,                  1.286,                0.90587,                0.49562,                 0.5527,                0.32689,                 1.4849,                0.97738,                 1.4134,             0.00047443,             0.00047443,             0.00047443
                      2,                  1.444,                 1.0143,                 1.3027,                0.89347,                0.50445,                0.55566,                0.33573,                 1.4181,                 1.1039,                 1.3922,              0.0009037,              0.0009037,              0.0009037
                      3,                 1.4215,                 0.9859,                 1.2977,                0.93702,                0.53136,                0.59084,                0.35414,                 1.4195,                0.83431,                 1.3645,              0.0012858,              0.0012858,              0.0012858
                      4,                 1.4233,                 0.9447,                 1.2909,                0.91828,                0.52353,                0.57981,                0.35829,                 1.3675,                0.87644,                 1.3498,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.3744,                0.89501,                 1.2662,                0.94234,                0.54476,                0.60648,                0.38095,                 1.3622,                0.75494,                 1.3248,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.3482,                0.85759,                 1.2537,                0.93788,                0.56742,                0.61793,                 0.3807,                 1.3561,                0.76951,                  1.315,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.3428,                0.83209,                 1.2451,                0.94084,                0.55795,                0.60895,                0.38557,                 1.3386,                0.74054,                 1.3121,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.3138,                0.80245,                  1.234,                0.92594,                0.57938,                0.61907,                0.39217,                 1.2928,                0.69095,                 1.2739,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.2902,                0.78321,                 1.2224,                0.94779,                0.57626,                 0.6297,                0.40298,                 1.2969,                0.66268,                 1.3012,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.2749,                0.73831,                 1.2081,                0.92976,                0.58774,                0.62237,                0.39108,                 1.3054,                0.65519,                 1.2839,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.2894,                0.67943,                 1.2484,                0.95123,                0.58133,                0.63335,                0.40716,                 1.2796,                0.63576,                 1.2717,             0.00079238,             0.00079238,             0.00079238
                     12,                  1.272,                0.65879,                 1.2321,                0.94819,                0.58385,                0.63209,                0.40841,                 1.2763,                0.63132,                 1.2737,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.2612,                0.64263,                 1.2375,                0.95429,                0.58972,                0.64134,                 0.4128,                 1.2651,                0.62038,                 1.2702,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.2464,                  0.624,                 1.2242,                0.94956,                0.59274,                0.63663,                 0.4135,                 1.2744,                0.60438,                 1.2696,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.2312,                0.61186,                 1.2177,                0.93915,                 0.5977,                0.62986,                0.41392,                 1.2484,                0.60106,                  1.252,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.2113,                0.59461,                 1.1958,                0.95207,                0.59063,                 0.6347,                0.41376,                 1.2538,                0.60252,                 1.2544,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.1947,                0.57654,                  1.194,                0.94331,                0.59343,                0.63852,                0.42461,                 1.2368,                0.57786,                 1.2376,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.1805,                0.55962,                 1.1821,                0.94664,                0.61016,                0.64289,                0.42559,                 1.2316,                0.56485,                 1.2414,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.1623,                0.54194,                 1.1662,                 0.9583,                0.60256,                0.64052,                0.42295,                 1.2341,                0.56226,                 1.2472,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.1542,                0.53033,                 1.1689,                0.95917,                0.60171,                0.64371,                 0.4288,                 1.2127,                0.55576,                 1.2329,             0.00015576,             0.00015576,             0.00015576
